title1,title2,address1,address2,ngram_similarity,shingle_similarity,combined_similarity
Attic ,Mystique ,5710 Germantown,1418 Spruce ,1.0,0.0,0.25
Attic ,Rusty's,5710 Germantown,Quince & Walnut,1.0,0.0,0.25
Attic ,Allegro ,5710 Germantown,1412 Spruce ,1.0,0.0,0.25
Attic ,Allegro ,5710 Germantown,1412 Spruce ,1.0,0.0,0.25
Attic ,Buddy's,5710 Germantown,13th & Commerce,1.0,0.0,0.25
Attic ,Dewey's,5710 Germantown,17th & Chancellor,1.0,0.0,0.25
Attic ,Deweys,5710 Germantown,Chancelor at 17th St.,1.0,0.0,0.25
Attic ,Maxine's ,5710 Germantown,243 Camac ,1.0,0.0,0.25
Attic ,Maxine's ,5710 Germantown,243 Camac ,1.0,0.0,0.25
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,1.0,0.0,0.25
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,1.0,0.0,0.25
Attic ,Mystique,5710 Germantown,1418 Spruce ,1.0,0.0,0.25
Attic ,Mystique ,5710 Germantown,1418 Spruce ,1.0,0.0,0.25
Attic ,USAA ,5710 Germantown,204 S. Quine ,1.0,0.0,0.25
Carey's,Comeback ,23rd & Fairmount,1308 Drury Lane ,1.0,0.0,0.25
Carey's,Frank's ,23rd & Fairmount,347 S. 13th ,1.0,0.0,0.25
Carey's,Maxines ,23rd & Fairmount,243 Camac,1.0,0.0,0.25
Carey's,Midway,23rd & Fairmount,256 S. 12th St. ,1.0,0.0,0.25
Carey's,Rusty's,23rd & Fairmount,Quince & Walnut,1.0,0.0,0.25
Carey's,Two-Forty-Seven ,23rd & Fairmount,247 17th St. ,1.0,0.0,0.25
Carey's,Allegro ,23rd & Fairmount,1412 Spruce ,1.0,0.0,0.25
Carey's,Attic ,23rd & Fairmount,5710 Germantown ,1.0,0.0,0.25
Carey's,Maxine's ,23rd & Fairmount,243 Camac,1.0,0.0,0.25
Carey's,Midway ,23rd & Fairmount,256 S. 12th St. ,1.0,0.0,0.25
Carey's,Mystique ,23rd & Fairmount,1418 Spruce ,1.0,0.0,0.25
Carey's,Rusty's,23rd & Fairmount,Quince & Walnut,1.0,0.0,0.25
Carey's,Allegro ,23rd & Fairmount,1412 Spruce ,1.0,0.0,0.25
Carey's,Allegro ,23rd & Fairmount,1412 Spruce ,1.0,0.0,0.25
Carey's,Attic ,23rd & Fairmount,5710 Germantown ,1.0,0.0,0.25
Carey's,Attic ,23rd & Fairmount,5710 Germantown,1.0,0.0,0.25
Carey's,Buddy's,23rd & Fairmount,13th & Commerce,1.0,0.0,0.25
Carey's,Maxine's ,23rd & Fairmount,243 Camac ,1.0,0.0,0.25
Carey's,Maxine's ,23rd & Fairmount,243 Camac ,1.0,0.0,0.25
Carey's,Midway ,23rd & Fairmount,256 S. 12th St. ,1.0,0.0,0.25
Carey's,Midway ,23rd & Fairmount,256 S. 12th St. ,1.0,0.0,0.25
Carey's,Mystique,23rd & Fairmount,1418 Spruce ,1.0,0.0,0.25
Carey's,Mystique ,23rd & Fairmount,1418 Spruce ,1.0,0.0,0.25
Carey's,USAA ,23rd & Fairmount,204 S. Quine ,1.0,0.0,0.25
Comeback ,Frank's ,1308 Drury Lane ,347 S. 13th ,1.0,0.0,0.25
Comeback ,Maxines ,1308 Drury Lane ,243 Camac,1.0,0.0,0.25
Comeback ,Midway,1308 Drury Lane ,256 S. 12th St. ,1.0,0.0,0.25
Comeback ,Rusty's,1308 Drury Lane ,Quince & Walnut,1.0,0.0,0.25
Comeback ,Two-Forty-Seven ,1308 Drury Lane ,247 17th St. ,1.0,0.0,0.25
Comeback ,Allegro ,1308 Drury Lane ,1412 Spruce ,1.0,0.0,0.25
Comeback ,Attic ,1308 Drury Lane ,5710 Germantown ,1.0,0.0,0.25
