reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,768,266,514,214,109996,0.02469155755968503,0.2357,2.4,text_block
2,320,331,298,144,42912,0.00963275135460566,0.3626,2.07,text_block
3,195,387,140,171,23940,0.005373976217124802,0.3709,0.82,text_block
4,1264,445,89,70,6230,0.0013984908869125946,0.5902,1.27,text_block
5,467,600,773,1459,1127807,0.25316658293679495,0.4249,0.53,text_block
6,200,911,172,74,12728,0.002857141574417898,0.7319,2.32,text_block
7,1147,903,190,87,16530,0.003710602626109982,0.6661,2.18,text_block
8,1129,1099,216,48,10368,0.002327376166213448,0.6037,4.5,text_block
9,205,1584,174,41,7134,0.001601417975479045,0.7644,4.24,text_block
10,298,2008,146,50,7300,0.0016386811355476628,0.7799,2.92,text_block
11,334,2106,873,291,254043,0.05702677694766232,0.2815,3.0,text_block
