reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,353,521,311,105,32655,0.0073532590779141465,0.7681,2.96,text_block
2,724,521,478,107,51146,0.011517065956178133,0.5917,4.47,text_block
3,510,761,537,110,59070,0.013301393775298995,0.7094,4.88,text_block
4,181,1181,1188,1194,1418472,0.31941179331701225,0.3784,0.99,text_block
