reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,771,269,511,211,107821,0.024203320372038983,0.2357,2.42,text_block
2,323,334,294,141,41454,0.009305464081231894,0.3712,2.09,text_block
3,198,390,137,167,22879,0.005135806260300683,0.3845,0.82,text_block
4,1267,448,86,67,5762,0.0012934357127432376,0.6201,1.28,text_block
5,470,603,769,1456,1119664,0.25133866780162173,0.3863,0.53,text_block
6,203,914,169,71,11999,0.002693497937731015,0.7669,2.38,text_block
7,1150,906,187,84,15708,0.0035260826407099576,0.6795,2.23,text_block
8,1132,1102,213,45,9585,0.0021516107786608697,0.6291,4.73,text_block
9,301,2011,143,47,6721,0.001508709029043266,0.8161,3.04,text_block
10,337,2109,870,288,250560,0.05624492401682499,0.2739,3.02,text_block
