reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,353,540,308,83,25564,0.00575650635638638,0.6678,3.71,text_block
2,724,540,475,85,40375,0.009091650138440781,0.5871,5.59,text_block
3,510,780,486,88,42768,0.009630506331166199,0.5416,5.52,text_block
4,181,1200,1185,1121,1328385,0.2991259856136881,0.3686,1.06,text_block
