reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,134,234,91,37,3367,0.0007558136141628741,0.5961,2.46,text_block
2,1237,216,76,36,2736,0.0006141687105285488,0.6378,2.11,text_block
3,768,266,216,156,33696,0.007563972540193705,0.2552,1.38,text_block
4,394,352,138,99,13662,0.0030668029690208453,0.4005,1.39,text_block
5,536,331,82,112,9184,0.00206159555463969,0.3114,0.73,text_block
6,997,318,54,102,5508,0.001236418588300894,0.4159,0.53,text_block
7,1071,333,133,123,16359,0.0036722170817019475,0.3495,1.08,text_block
8,195,387,140,171,23940,0.005373976217124802,0.3161,0.82,text_block
9,320,388,59,87,5133,0.0011522397628446787,0.435,0.68,text_block
10,1200,406,82,74,6068,0.0013621256343155095,0.378,1.11,text_block
11,1264,445,89,70,6230,0.0013984908869125946,0.5132,1.27,text_block
12,718,527,64,21,1344,0.00030169691043507656,0.599,3.05,text_block
13,467,600,592,1364,807488,0.18126237709330292,0.4285,0.43,column
14,200,911,172,74,12728,0.002857141574417898,0.4826,2.32,text_block
15,1147,903,190,87,16530,0.003710602626109982,0.4417,2.18,text_block
16,220,1107,146,39,5694,0.0012781712857271772,0.6538,3.74,text_block
17,1129,1099,216,48,10368,0.002327376166213448,0.5177,4.5,text_block
18,267,1310,48,48,2304,0.0005171947036029884,0.7114,1.0,text_block
19,1214,1304,47,45,2115,0.0004747685755730558,0.652,1.04,text_block
20,144,1510,85,37,3145,0.0007059797494927946,0.8925,2.3,text_block
21,267,1510,170,37,6290,0.0014119594989855891,0.6927,4.59,text_block
22,1092,1502,83,37,3071,0.0006893684612694346,0.8398,2.24,text_block
23,1203,1500,137,37,5069,0.0011378732433001513,0.91,3.7,text_block
24,253,1584,126,41,5166,0.0011596474994848257,0.7129,3.07,text_block
25,1176,1577,122,36,4392,0.0009859024037431967,0.7475,3.39,text_block
26,298,2008,146,50,7300,0.0016386811355476628,0.7086,2.92,text_block
27,477,1992,562,65,36530,0.008200139983774812,0.3853,8.65,text_block
28,1099,2009,141,50,7050,0.0015825619185768525,0.6624,2.82,text_block
29,650,2109,31,21,651,0.0001461344409919902,0.6697,1.48,text_block
30,697,2106,252,25,6300,0.0014142042676644215,0.7241,10.08,text_block
31,713,2155,370,30,11100,0.0024916932335039806,0.4679,12.33,text_block
32,334,2269,110,37,4070,0.000913620852284793,0.6489,2.97,text_block
33,474,2268,161,40,6440,0.0014456310291680752,0.671,4.03,text_block
34,676,2265,261,44,11484,0.0025778923507711452,0.6142,5.93,text_block
35,964,2264,243,45,10935,0.002454654550303246,0.5301,5.4,text_block
36,600,2331,232,28,6496,0.0014582017337695368,0.7188,8.29,text_block
37,856,2330,34,24,816,0.00018317312419272508,0.6642,1.42,text_block
38,911,2330,35,24,840,0.00018856056902192287,0.6048,1.46,text_block
