reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,463,314,49,36,1764,0.0004002210744982943,0.339,1.36,text_block
2,522,312,201,38,7638,0.001732930026654179,0.5789,5.29,headline
3,755,312,95,36,3420,0.0007759388179048563,0.5015,2.64,text_block
4,881,307,425,40,17000,0.0038570058199949,0.4931,10.62,headline
5,405,452,1081,135,145935,0.033110126137703276,0.4074,8.01,text_block
6,334,624,36,23,828,0.00018785887170328099,0.7246,1.57,text_block
7,409,614,873,103,89919,0.020401065078124787,0.5078,8.48,text_block
8,1290,610,199,91,18109,0.004108618729075743,0.5083,2.19,text_block
9,321,748,51,24,1224,0.0002777044190396328,0.8235,2.12,text_block
10,411,735,1079,136,146744,0.03329367423819597,0.532,7.93,text_block
11,327,907,47,23,1081,0.00024526019361261684,0.827,2.04,text_block
12,412,899,481,103,49543,0.011240449372941606,0.3785,4.67,text_block
13,906,898,130,59,7670,0.0017401902729035812,0.4527,2.2,text_block
14,1055,894,437,90,39330,0.008923296405905848,0.4611,4.86,text_block
15,343,1032,33,23,759,0.00017220396572800758,0.5718,1.43,text_block
16,414,1019,1080,108,116640,0.026463597579070887,0.4845,10.0,text_block
17,1417,1018,76,29,2204,0.000500049460427574,0.5549,2.62,text_block
18,329,1158,48,23,1104,0.00025047849560437465,0.7074,2.09,text_block
19,415,1145,966,100,96600,0.021916868365382782,0.5342,9.66,text_block
20,1388,1142,108,91,9828,0.0022298031293476396,0.4953,1.19,text_block
21,1446,1143,48,24,1152,0.0002613688649784779,0.7049,2.0,text_block
22,314,1282,63,25,1575,0.00035734024508776274,0.7194,2.52,text_block
23,416,1277,280,67,18760,0.0042563193637120186,0.4745,4.18,text_block
24,676,1276,32,26,832,0.00018876640248445626,0.6755,1.23,text_block
25,715,1268,782,72,56304,0.012774403275823108,0.4371,10.86,text_block
26,301,1375,79,24,1896,0.00043016959027707824,0.7885,3.29,text_block
27,419,1368,508,95,48260,0.010949358874879639,0.3948,5.35,text_block
28,907,1364,291,63,18333,0.004159440452821558,0.4768,4.62,text_block
29,1209,1358,289,93,26877,0.006097926201411937,0.4739,3.11,text_block
30,332,1500,50,23,1150,0.00026091509958789025,0.7913,2.17,text_block
31,420,1494,288,101,29088,0.006599563840706567,0.4224,2.85,text_block
32,687,1494,32,25,800,0.0001815061562350541,0.6787,1.28,text_block
33,711,1485,788,108,85104,0.019308624900285055,0.462,7.3,text_block
34,347,1625,35,24,840,0.0001905814640468068,0.7202,1.46,text_block
35,420,1619,242,94,22748,0.005161127552543763,0.4601,2.57,text_block
36,618,1619,228,67,15276,0.003465860053308358,0.3945,3.4,text_block
37,851,1616,198,66,13068,0.002964903062099609,0.4259,3.0,text_block
38,1022,1608,481,92,44252,0.010040013032142017,0.413,5.23,text_block
39,425,1749,76,24,1824,0.00041383403621592335,0.8712,3.17,text_block
40,521,1745,240,27,6480,0.0014701998655039382,0.7562,8.89,text_block
41,1422,1734,78,24,1872,0.0004247244055900266,0.5732,3.25,text_block
42,309,1908,1201,372,446772,0.10136483554180949,0.4613,3.23,text_block
43,940,1906,94,26,2444,0.0005545013072980903,0.6416,3.62,text_block
44,1052,1906,50,24,1200,0.00027225923435258113,0.6358,2.08,text_block
45,1153,1903,153,26,3978,0.0009025393618788065,0.6161,5.88,text_block
46,1325,1901,80,33,2640,0.0005989703155756785,0.5492,2.42,text_block
47,1425,1903,80,22,1760,0.000399313543717119,0.7091,3.64,text_block
48,677,2300,95,28,2660,0.0006035079694815549,0.7996,3.39,text_block
49,791,2298,155,29,4495,0.0010198377153457102,0.8434,5.34,text_block
50,965,2294,231,28,6468,0.0014674772731604125,0.8505,8.25,text_block
51,1215,2291,196,29,5684,0.0012896012400500595,0.7789,6.76,text_block
52,1206,2341,213,24,5112,0.0011598243383419958,0.7062,8.88,text_block
