reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,353,540,236,83,19588,0.004410829545802551,0.3413,2.84,text_block
2,601,540,60,82,4920,0.0011078865308019477,0.2445,0.73,text_block
3,724,540,333,84,27972,0.00629874025194961,0.2356,3.96,text_block
4,1075,543,124,82,10168,0.0022896321636573587,0.3149,1.51,text_block
5,741,689,65,41,2665,0.0006001052041843883,0.5381,1.59,text_block
6,510,780,38,26,988,0.00022247802691713908,0.4271,1.46,text_block
7,563,783,58,82,4756,0.0010709569797752161,0.2752,0.71,text_block
8,632,809,364,59,21476,0.004835969742988339,0.3892,6.17,text_block
9,1010,786,37,25,925,0.00020829167499833366,0.533,1.48,text_block
10,180,1000,93,31,2883,0.0006491944854272388,0.5161,3.0,text_block
11,524,1000,268,38,10184,0.0022932350466843567,0.5076,7.05,text_block
12,825,1002,32,31,992,0.00022337874767388864,0.6855,1.03,text_block
13,891,1002,46,37,1702,0.0003832566819969339,0.4788,1.24,text_block
14,969,1004,87,40,3480,0.0007836270583721094,0.5632,2.17,text_block
15,1256,1004,70,31,2170,0.0004886410105366314,0.6433,2.26,text_block
16,578,1117,388,33,12804,0.002883207142355313,0.6607,11.76,text_block
17,269,1200,68,30,2040,0.000459367585942271,0.5172,2.27,text_block
18,367,1201,235,38,8930,0.0020108590894433727,0.5434,6.18,text_block
19,631,1203,34,30,1020,0.0002296837929711355,0.5941,1.13,text_block
20,693,1204,53,29,1537,0.000346101950781015,0.6916,1.83,text_block
21,776,1204,80,30,2400,0.0005404324540497306,0.6817,2.67,text_block
22,884,1205,126,30,3780,0.0008511811151283257,0.5844,4.2,text_block
23,1040,1206,34,30,1020,0.0002296837929711355,0.599,1.13,text_block
24,1103,1206,187,31,5797,0.0013053695567192868,0.5567,6.03,text_block
25,184,1262,109,38,4142,0.00093269634361416,0.5227,2.87,text_block
26,311,1261,31,29,899,0.0002024369900794616,0.6185,1.07,text_block
27,358,1271,155,30,4650,0.001047087879721353,0.6273,5.17,text_block
28,529,1269,34,24,816,0.0001837470343769084,0.7034,1.42,text_block
