reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
29,579,1270,147,32,4704,0.001059247609937472,0.5918,4.59,text_block
30,742,1265,83,29,2407,0.0005420087153740423,0.651,2.86,text_block
31,842,1275,97,29,2813,0.0006334318721841217,0.6367,3.34,text_block
32,956,1276,136,28,3808,0.0008574861604255725,0.6552,4.86,text_block
33,1110,1267,75,30,2250,0.0005066554256716225,0.5702,2.5,text_block
34,1201,1268,95,29,2755,0.0006203714212112533,0.6926,3.28,text_block
35,1312,1268,54,29,1566,0.0003526321762674492,0.6845,1.86,text_block
36,184,1322,131,30,3930,0.0008849581435064339,0.6321,4.37,text_block
37,335,1323,139,30,4170,0.000939001388911407,0.6285,4.63,text_block
38,494,1324,42,38,1596,0.00035938758194307085,0.4649,1.11,text_block
39,556,1324,88,29,2552,0.0005746598428062135,0.6669,3.03,text_block
40,664,1324,120,40,4800,0.0010808649080994613,0.4877,3.0,text_block
41,882,1327,156,38,5928,0.0013348681615028347,0.5334,4.11,text_block
42,365,1387,71,26,1846,0.0004156826292399178,0.688,2.73,text_block
43,458,1384,69,29,2001,0.00045058555856396286,0.6837,2.38,text_block
44,548,1384,145,30,4350,0.0009795338229651367,0.6262,4.83,text_block
45,719,1385,175,40,7000,0.0015762613243117142,0.5441,4.38,text_block
46,918,1386,53,30,1590,0.00035803650080794654,0.6623,1.77,text_block
47,994,1387,184,30,5520,0.0012429946443143804,0.6549,6.13,text_block
48,1201,1398,83,20,1660,0.00037379911405106364,0.8572,4.15,text_block
49,1308,1388,58,30,1740,0.0003918135291860547,0.6833,1.93,text_block
50,183,1443,102,29,2958,0.000666082999616293,0.6525,3.52,text_block
51,307,1443,83,29,2407,0.0005420087153740423,0.6627,2.86,text_block
52,411,1444,93,30,2790,0.0006282527278328119,0.6369,3.1,text_block
53,524,1444,104,30,3120,0.0007025621902646497,0.6401,3.47,text_block
54,649,1444,83,30,2490,0.0005606986710765955,0.6104,2.77,text_block
55,753,1455,82,20,1640,0.00036929551026731593,0.8524,4.1,text_block
56,881,1445,102,37,3774,0.0008498300339932014,0.4038,2.76,text_block
57,1003,1447,53,29,1537,0.000346101950781015,0.6662,1.83,text_block
58,1077,1446,141,40,5640,0.0012700162670168668,0.5599,3.52,text_block
59,1333,1448,33,30,990,0.00022292838729551386,0.6535,1.1,text_block
60,182,1503,54,29,1566,0.0003526321762674492,0.6507,1.86,text_block
61,258,1503,223,39,8697,0.0019583921053627114,0.4543,5.72,text_block
62,502,1514,83,20,1660,0.00037379911405106364,0.8464,4.15,text_block
63,606,1515,89,28,2492,0.0005611490314549703,0.64,3.18,text_block
64,718,1505,83,29,2407,0.0005420087153740423,0.6373,2.86,text_block
65,823,1506,112,36,4032,0.0009079265228035474,0.5052,3.11,text_block
66,966,1507,82,37,3034,0.0006831966939945344,0.4941,2.22,text_block
67,1069,1508,141,37,5217,0.0011747650469906019,0.4997,3.81,text_block
68,1233,1508,132,29,3828,0.0008619897642093202,0.6385,4.55,text_block
69,183,1561,54,31,1674,0.0003769516366996871,0.6284,1.74,text_block
70,262,1563,167,30,5010,0.0011281527478288127,0.6914,5.57,text_block
71,455,1564,187,39,7293,0.0016422391197436189,0.5131,4.79,text_block
72,666,1565,102,38,3876,0.0008727984132903149,0.4969,2.68,text_block
73,794,1565,82,29,2378,0.0005354784898876081,0.6653,2.83,text_block
74,903,1566,162,38,6156,0.001386209244637559,0.4994,4.26,text_block
75,1092,1567,92,29,2668,0.0006007807447519505,0.6053,3.17,text_block
76,1209,1567,75,38,2850,0.0006417635391840551,0.5081,1.97,text_block
77,1309,1572,56,25,1400,0.00031525226486234286,0.72,2.24,text_block
78,184,1623,130,37,4810,0.001083116709991335,0.5322,3.51,text_block
79,340,1622,110,39,4290,0.0009660230116138934,0.4967,2.82,text_block
80,479,1624,82,29,2378,0.0005354784898876081,0.6577,2.83,text_block
81,588,1625,120,29,3480,0.0007836270583721094,0.6805,4.14,text_block
82,734,1625,63,29,1827,0.00041140420564535744,0.653,2.17,text_block
83,825,1626,149,29,4321,0.0009730035974787024,0.6503,5.14,text_block
84,1002,1626,31,29,899,0.0002024369900794616,0.624,1.07,text_block
85,1061,1627,53,29,1537,0.000346101950781015,0.6604,1.83,text_block
86,1143,1626,87,37,3219,0.0007248550289942012,0.6058,2.35,text_block
87,1269,1637,96,28,2688,0.0006052843485356982,0.6057,3.43,text_block
88,182,1681,142,39,5538,0.0012470478877197534,0.5217,3.64,text_block
89,342,1682,33,30,990,0.00022292838729551386,0.6202,1.1,text_block
90,391,1693,127,20,2540,0.0005719576805359649,0.8945,6.35,text_block
91,537,1683,149,30,4470,0.0010065554456676232,0.6711,4.97,text_block
92,705,1685,55,29,1595,0.00035916240175388347,0.5687,1.9,text_block
93,778,1684,94,30,2820,0.0006350081335084334,0.6174,3.13,text_block
94,889,1694,79,20,1580,0.00035578469891607263,0.8861,3.95,text_block
95,985,1686,98,32,3136,0.000706165073291648,0.5577,3.06,text_block
96,1101,1686,92,30,2760,0.0006214973221571902,0.6482,3.07,text_block
97,1210,1687,54,29,1566,0.0003526321762674492,0.6507,1.86,text_block
98,1281,1686,84,39,3276,0.0007376902997778823,0.5421,2.15,text_block
99,183,1740,82,31,2542,0.0005724080409143397,0.5983,2.65,text_block
100,296,1742,33,29,957,0.00021549744105233006,0.6479,1.14,text_block
101,357,1752,95,29,2755,0.0006203714212112533,0.5819,3.28,text_block
102,483,1743,181,30,5430,0.0012227284272875154,0.6564,6.03,text_block
103,696,1743,201,39,7839,0.0017651875030399325,0.5068,5.15,text_block
104,926,1745,135,29,3915,0.000881580440668623,0.6488,4.66,text_block
105,1092,1746,53,29,1537,0.000346101950781015,0.6532,1.83,text_block
106,1175,1746,92,29,2668,0.0006007807447519505,0.6664,3.17,text_block
107,1296,1747,69,28,1932,0.00043504812551003314,0.7226,2.46,text_block
108,183,1800,144,39,5616,0.0012646119424763696,0.5011,3.69,text_block
109,350,1802,96,29,2784,0.0006269016466976875,0.6203,3.31,text_block
110,471,1802,119,30,3570,0.0008038932753989742,0.5944,3.97,text_block
111,614,1803,83,29,2407,0.0005420087153740423,0.6315,2.86,text_block
112,719,1804,54,28,1512,0.0003404724460513303,0.6872,1.93,text_block
113,798,1804,110,29,3190,0.0007183248035077669,0.6254,3.79,text_block
114,265,1860,172,40,6880,0.0015492397016092277,0.531,4.3,text_block
115,455,1862,177,38,6726,0.00151456195247437,0.4811,4.66,text_block
116,649,1873,92,28,2576,0.0005800641673467109,0.6351,3.29,text_block
117,758,1864,81,29,2349,0.0005289482644011738,0.6271,2.79,text_block
118,857,1864,128,38,4864,0.001095276440207454,0.5253,3.37,text_block
119,1005,1864,86,29,2494,0.000561599391833345,0.6383,2.97,text_block
120,1109,1865,93,29,2697,0.0006073109702383848,0.6448,3.21,text_block
121,1220,1865,146,39,5694,0.0012821759972329858,0.494,3.74,text_block
122,183,1920,88,38,3344,0.0007530025526426246,0.4827,2.32,text_block
123,293,1921,83,30,2490,0.0005606986710765955,0.6321,2.77,text_block
124,397,1922,172,30,5160,0.0011619297762069207,0.6291,5.73,text_block
125,592,1922,62,30,1860,0.0004188351518885412,0.7376,2.07,text_block
126,676,1923,61,30,1830,0.00041207974621291956,0.6492,2.03,text_block
127,759,1923,31,29,899,0.0002024369900794616,0.6296,1.07,text_block
128,851,1924,163,29,4727,0.0010644267542887819,0.6657,5.62,text_block
129,1037,1934,110,28,3080,0.0006935549826971543,0.6623,3.93,text_block
130,1169,1924,33,29,957,0.00021549744105233006,0.6186,1.14,text_block
131,1225,1924,140,30,4200,0.0009457567945870285,0.5536,4.67,text_block
132,183,1985,86,25,2150,0.00048413740675288364,0.7344,3.44,text_block
133,289,1981,160,30,4800,0.0010808649080994613,0.6062,5.33,text_block
134,468,1983,63,29,1827,0.00041140420564535744,0.6415,2.17,text_block
135,552,1992,52,20,1040,0.00023418739675488325,0.925,2.6,text_block
136,624,1988,57,25,1425,0.00032088176959202755,0.7375,2.28,text_block
137,700,1983,96,38,3648,0.0008214573301555905,0.5595,2.53,text_block
138,816,1988,34,25,850,0.00019140316080927959,0.6788,1.36,text_block
139,870,1983,39,30,1170,0.00026346082134924364,0.612,1.3,text_block
140,930,1983,165,40,6600,0.0014861892486367591,0.5147,4.12,text_block
141,1115,1984,41,39,1599,0.000360063122510633,0.4434,1.05,text_block
142,1177,1985,81,29,2349,0.0005289482644011738,0.6377,2.79,text_block
143,1280,1984,84,30,2520,0.0005674540767522171,0.6802,2.8,text_block
144,182,2040,62,29,1798,0.0004048739801589232,0.6379,2.14,text_block
145,274,2040,195,40,7800,0.0017564054756616244,0.5036,4.88,text_block
146,516,2042,50,30,1500,0.00033777028378108163,0.5993,1.67,text_block
147,591,2042,62,30,1860,0.0004188351518885412,0.6699,2.07,text_block
148,679,2043,88,38,3344,0.0007530025526426246,0.535,2.32,text_block
149,793,2043,92,35,3220,0.0007250802091833885,0.495,2.63,text_block
150,911,2044,90,29,2610,0.000587720293779082,0.6502,3.1,text_block
151,1027,2044,108,29,3132,0.0007052643525348985,0.6545,3.72,text_block
152,1161,2044,61,29,1769,0.00039834375467248895,0.7354,2.1,text_block
153,1250,2044,114,39,4446,0.001001151121127126,0.545,2.92,text_block
154,182,2099,75,30,2250,0.0005066554256716225,0.6302,2.5,text_block
155,282,2102,148,28,4144,0.0009331467039925348,0.6308,5.29,text_block
156,454,2102,141,29,4089,0.0009207617935872285,0.6202,4.86,text_block
157,264,2160,105,31,3255,0.0007329615158049471,0.5361,3.39,text_block
158,444,2162,137,29,3973,0.0008946408916414915,0.6446,4.72,text_block
159,745,2163,74,38,2812,0.0006332066919949343,0.4559,1.95,text_block
160,843,2163,75,38,2850,0.0006417635391840551,0.5004,1.97,text_block
161,944,2164,116,29,3364,0.0007575061564263724,0.6739,4.0,text_block
162,1085,2164,38,29,1102,0.0002481485684845013,0.6089,1.31,text_block
163,1150,2164,211,37,7807,0.001757981736985936,0.4933,5.7,text_block
164,181,2218,44,31,1364,0.0003071457780515969,0.7163,1.42,text_block
165,249,2220,48,30,1440,0.00032425947242983833,0.5986,1.6,text_block
166,425,2221,130,34,4420,0.0009952964362082539,0.4919,3.82,text_block
167,578,2222,76,39,2964,0.0006674340807514173,0.474,1.95,text_block
168,678,2228,64,24,1536,0.0003458767705918276,0.7474,2.67,text_block
169,765,2222,109,39,4251,0.0009572409842355853,0.5025,2.79,text_block
170,898,2223,33,30,990,0.00022292838729551386,0.6202,1.1,text_block
171,953,2223,88,30,2640,0.0005944756994547037,0.6492,2.93,text_block
172,1065,2233,53,20,1060,0.000238691000538631,0.9075,2.65,text_block
173,1143,2223,31,29,899,0.0002024369900794616,0.6263,1.07,text_block
174,1198,2223,164,31,5084,0.0011448160818286794,0.6052,5.29,text_block
175,181,2281,63,28,1764,0.00039721785372655197,0.6871,2.25,text_block
176,262,2281,42,38,1596,0.00035938758194307085,0.4405,1.11,text_block
177,321,2281,53,30,1590,0.00035803650080794654,0.6447,1.77,text_block
178,392,2287,129,32,4128,0.0009295438209655367,0.5867,4.03,text_block
179,538,2282,191,38,7258,0.0016343578131220603,0.5138,5.03,text_block
180,747,2283,75,38,2850,0.0006417635391840551,0.5007,1.97,text_block
181,841,2292,97,20,1940,0.00043684956702353224,0.8397,4.85,text_block
182,955,2283,81,29,2349,0.0005289482644011738,0.599,2.79,text_block
183,1052,2283,81,29,2349,0.0005289482644011738,0.6181,2.79,text_block
184,1152,2283,86,30,2580,0.0005809648881034604,0.5508,2.87,text_block
