reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,0,0,52,197,10244,0.0022494026259426126,0.5293,0.26,text_block
2,0,177,51,76,3876,0.0008511015792809026,0.2002,0.67,text_block
3,575,192,336,58,19488,0.004279222801090359,0.6545,5.79,headline
4,959,193,369,64,23616,0.005185659157971568,0.5966,5.77,headline
5,0,256,44,237,10428,0.002289805796888868,0.3249,0.19,text_block
6,876,308,48,21,1008,0.00022133911040122544,0.7798,2.29,text_block
7,945,308,78,22,1716,0.0003768034855639909,0.8514,3.55,headline
8,357,375,64,69,4416,0.0009696761027101305,0.2274,0.93,text_block
9,377,371,48,21,1008,0.00022133911040122544,0.2748,2.29,text_block
10,433,394,61,47,2867,0.0006295428864288823,0.3345,1.3,text_block
11,507,395,64,46,2944,0.0006464507351400871,0.3781,1.39,text_block
12,587,373,47,68,3196,0.0007017855127403933,0.3949,0.69,text_block
13,628,375,120,69,8280,0.0018181426925814948,0.3548,1.74,text_block
14,761,397,178,50,8900,0.001954283812074312,0.471,3.56,headline
15,947,384,38,62,2356,0.0005173362540727056,0.3553,0.61,text_block
16,993,398,53,49,2597,0.0005702556247142684,0.5202,1.08,text_block
17,1106,377,140,73,10220,0.0022441326471235356,0.2976,1.92,text_block
18,1257,379,65,69,4485,0.0009848272918149762,0.3012,0.94,text_block
19,1373,401,68,47,3196,0.0007017855127403933,0.3942,1.45,text_block
20,1453,388,98,62,6076,0.0013341829710296089,0.4162,1.58,text_block
21,0,499,49,87,4263,0.0009360799877385159,0.2794,0.56,text_block
22,457,526,124,59,7316,0.0016064652100152433,0.7149,2.1,text_block
23,612,527,135,61,8235,0.0018082614822957257,0.6852,2.21,text_block
24,777,534,33,54,1782,0.00039129592731645214,0.3154,0.61,text_block
25,841,533,106,56,5936,0.0013034414279183275,0.6612,1.89,text_block
26,974,534,55,47,2585,0.00056762063530473,0.7246,1.17,text_block
27,1058,532,162,58,9396,0.002063196707668566,0.7697,2.79,text_block
28,1248,536,60,55,3300,0.0007246220876230595,0.6112,1.09,text_block
29,1338,536,108,49,5292,0.0011620303296064336,0.7948,2.2,text_block
30,0,680,42,140,5880,0.0012911448106738151,0.4495,0.3,text_block
31,281,778,143,35,5005,0.0010990101662283068,0.4863,4.09,text_block
32,458,779,186,36,6696,0.0014703240905224262,0.6432,5.17,text_block
33,678,792,52,24,1248,0.0002740388985919934,0.7332,2.17,text_block
34,763,792,88,25,2200,0.00048308139174870634,0.8618,3.52,text_block
35,1101,767,201,30,6030,0.0013240821782930451,0.6368,6.7,text_block
36,1324,768,197,30,5910,0.001297732284197661,0.7052,6.57,text_block
37,0,819,36,431,15516,0.0034070413065331487,0.3241,0.08,text_block
38,278,844,230,37,8510,0.001868646656264314,0.6016,6.22,text_block
39,535,847,314,37,11618,0.0025511089133347592,0.5306,8.49,text_block
40,1101,825,92,29,2668,0.0005858459787207039,0.6645,3.17,text_block
41,1213,826,124,37,4588,0.0010074442842468475,0.5316,3.35,text_block
42,1424,826,195,39,7605,0.0016699245382949598,0.5319,5.0,text_block
43,278,921,115,25,2875,0.0006312995460352412,0.8619,4.6,text_block
44,426,922,89,26,2314,0.0005081137911393211,0.8081,3.42,text_block
45,548,914,216,35,7560,0.001660043328009191,0.5578,6.17,text_block
46,797,926,54,23,1242,0.0002727214038872242,0.7576,2.35,text_block
47,1100,882,93,31,2883,0.0006330562056416001,0.6316,3.0,text_block
48,1219,883,113,30,3390,0.0007443845081945975,0.6434,3.77,text_block
49,1355,885,137,34,4658,0.0010228150558024881,0.5689,4.03,text_block
50,1511,885,69,39,2691,0.0005908963750889857,0.3709,1.77,text_block
51,278,988,61,25,1525,0.0003348632374621714,0.9049,2.44,text_block
52,363,978,308,37,11396,0.0025023616092582986,0.5478,8.32,text_block
53,1100,940,93,31,2883,0.0006330562056416001,0.6337,3.0,text_block
54,1217,941,159,31,4929,0.001082321899967897,0.6624,5.13,text_block
55,1405,943,137,36,4932,0.0010829806473202817,0.5444,3.81,text_block
56,690,991,53,25,1325,0.00029094674730319815,0.7562,2.12,text_block
57,761,992,89,25,2225,0.000488570953018578,0.858,3.56,text_block
58,1100,999,92,30,2760,0.0006060475641938316,0.6703,3.07,text_block
59,1218,999,158,31,4898,0.0010755148439932562,0.5855,5.1,text_block
60,1404,1001,44,29,1276,0.00028018720721424966,0.5956,1.52,text_block
61,1473,1001,145,36,5220,0.0011462203931492032,0.5858,4.03,text_block
62,278,1043,138,37,5106,0.0011211879937585885,0.4871,3.73,text_block
63,434,1056,53,24,1272,0.0002793088774110702,0.8145,2.21,text_block
64,504,1056,90,25,2250,0.0004940605142884497,0.8804,3.6,text_block
65,612,1047,117,35,4095,0.0008991901360049783,0.4991,3.34,text_block
66,747,1048,101,35,3535,0.0007762239635598531,0.5876,2.89,text_block
67,1100,1057,92,30,2760,0.0006060475641938316,0.6587,3.07,text_block
68,1217,1058,152,31,4712,0.001034672508145411,0.6876,4.9,text_block
69,1391,1059,119,31,3689,0.0008100396609822625,0.6406,3.84,text_block
70,271,1160,1344,1000,1344000,0.2951188138683006,0.4056,1.34,text_block
71,748,1164,553,199,110047,0.024164389962622674,0.4269,2.78,text_block
72,1137,1166,44,72,3168,0.0006956372041181371,0.4104,0.61,text_block
73,1194,1167,284,78,22152,0.004864190450007883,0.4525,3.64,text_block
74,1502,1168,41,33,1353,0.0002970950559254544,0.5492,1.24,text_block
75,1558,1169,60,30,1800,0.00039524841143075975,0.6628,2.0,text_block
76,1539,1220,77,21,1617,0.00035506482293529916,0.8194,3.67,text_block
77,1256,1293,137,112,15344,0.003369273124996432,0.423,1.22,text_block
78,1342,1294,274,113,30962,0.006798711841510657,0.4185,2.42,text_block
79,1070,1376,173,38,6574,0.0014435350315254525,0.4898,4.55,text_block
80,1522,1387,92,30,2760,0.0006060475641938316,0.6982,3.07,text_block
81,1561,1346,55,20,1100,0.00024154069587435317,0.7036,2.75,text_block
82,277,1420,45,20,900,0.00019762420571537987,0.9033,2.25,text_block
83,1193,1463,135,26,3510,0.0007707344022899815,0.7293,5.19,text_block
84,1350,1459,101,31,3131,0.0006875126534387271,0.6139,3.26,text_block
85,1191,1510,45,20,900,0.00019762420571537987,0.88,2.25,text_block
86,1473,1470,84,61,5124,0.001125140477872896,0.4596,1.38,text_block
87,1133,1676,41,20,820,0.00018005760965179055,0.8707,2.05,text_block
88,1258,1677,104,20,2080,0.00045673149765332235,0.85,5.2,text_block
89,270,2157,364,167,60788,0.013347978018918346,0.3786,2.18,text_block
90,1167,2123,69,30,2070,0.0004545356731453737,0.657,2.3,text_block
91,1254,2123,259,40,10360,0.002274874190234817,0.4508,6.47,text_block
92,1530,2124,31,28,868,0.00019059756728994414,0.6993,1.11,text_block
93,1577,2124,34,28,952,0.00020904249315671292,0.7101,1.21,text_block
94,267,2240,164,83,13612,0.0029889563202197228,0.479,1.98,text_block
95,524,2201,1086,129,140094,0.03076218386165603,0.428,8.42,text_block
96,650,2286,69,30,2070,0.0004545356731453737,0.658,2.3,text_block
97,736,2296,210,30,6300,0.001383369440007659,0.6521,7.0,text_block
98,1005,2353,125,30,3750,0.0008234341904807494,0.7408,4.17,text_block
99,1154,2354,39,29,1131,0.00024834775184899403,0.641,1.34,text_block
100,1219,2354,55,30,1650,0.00036231104381152974,0.9267,1.83,text_block
101,1299,2354,281,71,19951,0.004380889475808382,0.4071,3.96,text_block
102,1679,2352,35,305,10675,0.0023440426622352,0.6526,0.11,text_block
103,542,2449,88,24,2112,0.00046375813607875806,0.9654,3.67,text_block
104,661,2449,165,26,4290,0.0009420087139099774,0.8998,6.35,text_block
105,855,2451,249,26,6474,0.0014215767864459658,0.8272,9.58,text_block
106,1133,2453,212,30,6360,0.001396544387055351,0.7264,7.07,text_block
107,763,2502,238,42,9996,0.0021949461781454855,0.3907,5.67,text_block
